source,content
"FAAO 7110.65 2-6-6","When a CWA is issued for a particular phenomenon, such as turbulence or icing, it will include a specific altitude range. The controller must relay this information to pilots so they can determine if it affects their flight path. For example: 'Center Weather Advisory, moderate icing from flight level two two zero to two six zero.'"
"FAAO 7110.65 3-1-8","A gain or loss of airspeed on final approach is a classic sign of wind shear. A pilot report of such an event is considered a reliable indicator, and the controller must issue an alert immediately. The type of aircraft reporting the shear is important, as a larger aircraft may be less affected than a smaller one."
"AIM 7-1-26","The LLWAS provides alerts for specific runways. The controller's alert to the pilot must include the runway affected. Phraseology: 'Wind shear alert for Runway 27, a 30-knot loss was reported on a 1-mile final.'"
"FAAO 7110.65 2-6-4","When vectoring an aircraft around a thunderstorm, the controller should provide a buffer of at least 10-20 miles from the most intense parts of the storm, as turbulence and hail can be present far from the visible storm cloud."
"AIM 7-1-21","There are different types of icing: rime, clear, and mixed. Clear ice is the most dangerous as it is heavy and can disrupt airflow over the wings. When a pilot reports icing, the controller should ask for the type if the pilot knows it."
"FAAO 7110.65 2-6-2","A report of 'extreme' turbulence means the aircraft is being violently tossed about and is practically impossible to control. This is a hazardous condition, and the controller must immediately issue an alert to all aircraft in the area and recommend they avoid the affected airspace."
"FAAO 7110.65 3-3-2","If a pilot reports 'nil' braking action, the runway is considered unsafe for further operations. The controller must inform airport operations and close the runway until its condition can be improved and re-evaluated."
"14 CFR 91.157","To operate under SVFR at night, the pilot must be instrument-rated, and the aircraft must be equipped for instrument flight. This is an extra layer of safety for night SVFR operations, which are inherently more risky."
"AIM 5-4-20","A controller can provide a pilot with the RVR (Runway Visual Range) value for a specific runway. RVR is a more precise measure of visibility along the runway and is often the controlling factor for determining if an approach can be initiated, especially for CAT II/III operations."
"FAAO 7110.65 3-1-15","The safety logic in ASDE-X can predict when an aircraft's current track will result in a runway incursion. This gives the controller a few seconds of advance warning to issue a corrective instruction, which can be the difference between a close call and an accident."
"FAAO 7110.65 3-1-5","Any vehicle operating in the movement area must have a flashing yellow light on its roof. This makes it more visible to pilots and controllers, especially at night or in low visibility."
"FAAO 7110.65 3-3-1","When a runway is closed, the controller must ensure that the runway lighting is turned off, unless it is needed for a specific operation. This provides a clear visual cue to pilots that the runway is not in use."
"AIM 2-1-9","The approach lighting system (ALS) can be very complex, with multiple settings. The controller can adjust the intensity of the ALS as requested by the pilot. For example, a pilot may request a lower intensity at night to avoid being blinded."
"FAAO 7110.65 10-4-4","The ARFF commander has the authority to close a runway after an incident. The controller cannot reopen the runway until the ARFF commander has declared it safe and clear of all personnel and equipment."
"FAAO 7110.65 3-1-13","When an aircraft pushes back from the gate, the ground controller must ensure that the taxiway behind the aircraft is clear of other traffic. This is especially important for large aircraft, as their tail can swing out a significant distance."
"FAAO 7110.65 5-1-6","A Ground Delay Program is implemented by the Air Traffic Control System Command Center (ATCSCC). The local facility receives a list of flights and their assigned EDCTs. The tower is responsible for ensuring that aircraft depart as close to their EDCT as possible to maintain the integrity of the program."
"ICAO Doc 4444","ICAO standards, outlined in Doc 4444, form the basis for global aviation but have notable differences from U.S. FAA procedures. A key difference is the Transition Altitude (TA). In the U.S., the TA is fixed at 18,000 feet, where pilots switch to standard pressure and use 'Flight Levels.' In most other countries, the TA varies by airport and is published on charts. Phraseology also differs significantly; for example, ICAO allows conditional runway clearances like 'Behind the landing Boeing 737, line up behind,' whereas the FAA strictly prohibits any conditional runway instructions to prevent incursions."
"Human Factors: Situational Awareness","Situational Awareness (SA) is a controller's accurate perception of current factors and conditions that affect the airspace and their ability to project future events. Loss of SA can lead to errors. It is maintained by effective scanning, managing workload, and building a correct mental picture of the traffic. A common sign of losing SA is confusion or uncertainty about an aircraft's position or clearance."
"Human Factors: Workload Management","Controllers must actively manage their workload to prevent overload. This involves prioritizing tasks (separating aircraft first), using effective scanning techniques, and communicating efficiently. During periods of high traffic, controllers should avoid non-essential tasks and focus solely on safety-critical functions. Recognizing personal limits and asking for help are signs of a professional controller."
"Human Factors: Readback/Hearback Errors","A readback/hearback error occurs when a pilot reads back a clearance incorrectly and the controller fails to catch the error. This is a common cause of incidents. Controllers must listen carefully to every readback. If a readback is incorrect, the controller must make a corrective transmission with the correct clearance. Phraseology: 'Negative, [call sign], I say again...'"
"Human Factors: Expectation Bias","Expectation bias is the tendency to hear what you expect to hear. For example, if a controller expects a pilot to report leaving an altitude, they may 'hear' that transmission even if the pilot said something else. To mitigate this, controllers must listen actively and attentively to the actual words spoken, not just the anticipated message."
"Human Factors: Stress Management","Air traffic control is a high-stress job. Controllers must develop coping mechanisms for stress. This includes staying calm under pressure, relying on training and procedures, and using effective communication. After a stressful event, a debriefing can be a valuable tool for processing the situation and learning from it."
"FAAO 7110.65 2-1-24","A Call for Release (CFR) procedure is used when a departure airport is in close proximity to the overlying ARTCC's airspace. The ground or clearance delivery controller must call the center controller to get a release time for the departing aircraft. This ensures the departure can be integrated into the en route flow without causing a loss of separation."
"Traffic Management: Airspace Flow Program (AFP)","An Airspace Flow Program (AFP) is a traffic management initiative that assigns departure times to aircraft that are expected to fly through a specific, constrained piece of airspace. This is different from a GDP (which is airport-specific). An AFP helps to manage volume and prevent airborne holding over a congested area or due to weather."
"Traffic Management: Time Based Flow Management (TBFM)","Time Based Flow Management (TBFM) is a system that helps controllers sequence aircraft to a specific point, such as the final approach fix, at a precise time. The system provides controllers with suggested headings and speeds to achieve the required spacing. This creates a more efficient and orderly flow of traffic."
"Traffic Management: Miles-in-Trail","A 'miles-in-trail' restriction is a traffic management tool where controllers must ensure a specific number of miles between aircraft on the same route. Phraseology: 'Maintain 20 miles in trail with the aircraft ahead.' This is used to manage volume into a busy airport or sector."
"Traffic Management: Minutes-in-Trail","Similar to miles-in-trail, a 'minutes-in-trail' restriction is used in non-radar environments. The controller must ensure a specific time interval between aircraft passing the same reporting point. This is a common procedure in oceanic airspace."
"Advanced Scenario: Pop-up IFR","A VFR aircraft may request an IFR clearance 'in the air' due to deteriorating weather. The controller must first ensure the aircraft is in a safe position (away from terrain and other traffic) and can maintain its altitude. The controller will then coordinate for a clearance, which may take time. The priority is to keep the aircraft safe while the clearance is being processed."
"Advanced Scenario: Mixed Fleet Sequencing","Sequencing a fast jet (e.g., a regional jet) behind a slow turboprop (e.g., a Dash 8) for the same runway requires careful speed control. The controller may need to assign a higher speed to the turboprop and a lower speed to the jet, or use vectoring to create extra spacing, to prevent the jet from overtaking the turboprop on final."
"Advanced Scenario: Stuck Flaps","If a pilot reports a stuck flap condition, the controller must anticipate a non-standard approach speed. The pilot will likely fly faster than normal on final. The controller must provide extra spacing behind the aircraft, as it will have a longer landing roll. The controller should also ask for the pilot's intended approach speed to help with sequencing."
"Advanced Scenario: VFR Flight Following","When providing VFR flight following, the controller's primary responsibility is workload permitting. The controller provides traffic advisories but is not responsible for separation. If the VFR aircraft is approaching complex airspace like a Class B, the controller should proactively advise the pilot of the airspace boundary and the need for a clearance to enter."
"Advanced Scenario: Large-Scale Military Exercise","Coordinating a large military exercise involves establishing temporary routes, reserving blocks of airspace (ALTRVs), and coordinating with numerous military and civilian agencies. The controller's role is to ensure that all non-participating aircraft are kept clear of the exercise airspace and that the military aircraft are handled according to the pre-planned procedures."
"FAAO 7110.65 2-1-25","A 'stop stream' or 'stop departures' instruction may be issued by a TRACON or Center to a tower to halt all departures that will fly a specific route. This is an immediate, tactical measure to resolve a developing situation, such as a sudden loss of separation or an emergency."
"Human Factors: Complacency","Complacency can develop during periods of low workload or routine traffic. It is a dangerous state where the controller's vigilance decreases. To combat complacency, controllers should remain actively engaged, scan the entire scope even with few aircraft, and anticipate potential problems before they occur."
"Traffic Management: Reroutes","During major weather events, the Air Traffic Control System Command Center (ATCSCC) may issue mandatory reroutes for large flows of traffic. Controllers will receive these reroutes and are responsible for issuing them to the affected aircraft. Phraseology: 'N12345, I have an amendment to your route. Advise when ready to copy.'"
"Advanced Scenario: Circling Approach","A circling approach is used when the final approach course is not aligned with the landing runway. After descending to the circling MDA, the pilot must keep the airport in sight while maneuvering to land on a different runway. The controller must protect a larger area of airspace around the airport to accommodate the circling maneuver."
"FAAO 7110.65 5-9-7","The final monitor controller for simultaneous independent parallel approaches has a unique responsibility. They do not talk to the aircraft unless a deviation occurs. Their sole job is to monitor the NTZ and issue a breakout instruction if an aircraft strays off course. This single-minded focus is a critical safety feature."
"Human Factors: Memory","Controllers cannot rely on memory alone. Critical information, such as assigned altitudes or unusual clearances, should be recorded on flight progress strips or using electronic equivalents. This provides a backup and helps to maintain an accurate picture of the traffic situation."
"Traffic Management: Severe Weather Avoidance Plan (SWAP)","SWAP is a comprehensive plan for managing air traffic around major convective weather systems. It involves a combination of reroutes, ground stops, and flow programs to keep aircraft out of hazardous weather and manage the resulting congestion."
"Advanced Scenario: Intercepting a Hijacked Aircraft","If military aircraft are scrambled to intercept a hijacked aircraft (squawking 7500), the controller's role is to provide vectors to the military pilots to help them join up with the target aircraft. The controller will then act as a communication relay between the military and the security agencies on the ground."
"FAAO 7110.65 3-1-6","A controller must not issue any instruction that would cause a pilot to violate a regulation, such as flying below a minimum safe altitude. If a pilot requests such a clearance, the controller must deny the request. Phraseology: 'Unable, that would be below the minimum vectoring altitude.'"
"IVAO Manuals","The IVAO rating system for controllers is a progression of skills. It starts with Student 1/2 (AS1/AS2), then Aerodrome Controller (ADC), Approach Controller (APC), Center Controller (ACC), and finally Senior Controller (SEC). Each rating requires passing theoretical and practical exams, demonstrating proficiency in the procedures for that level of control."
"IVAO Rules and Regulations 2.1.1","When connecting to the IVAO network as an ATC, you must use approved software like IvAc. You must connect to a valid ATC position within a real-world FIR, have the appropriate rating for that position, and not use a callsign that could be mistaken for a real-world military or official callsign."
"IVAO IvAc Manual","Virtual Airline (VA) coordination is key for events. Controllers should be aware of VA flight schedules and be prepared for concentrated waves of traffic. If a VA is running an event, the controller should coordinate with the VA event organizer to understand the planned routes and timing to ensure a smooth operation."
"IVAO Events Department SOP","During official IVAO events, traffic can be extremely high. Controllers must adhere strictly to event procedures, which may include specific routes, temporary holding patterns, or restrictions on VFR traffic. Coordination between controllers is paramount, and supervisors are often online to assist with any issues."
"IVAO IvAc Manual","The IvAc software includes essential tools for controllers. The communications box is used for voice and text, the radar screen displays traffic, and flight strips help manage aircraft data. Controllers must be proficient in using features like assuming/transferring control, setting up the ATIS, and using the transponder code list."
"IVAO Rules and Regulations 1.4","IVAO has a strict set of rules and regulations that all members must follow. Violations, such as unprofessional behavior, cheating on exams, or connecting to a position without the proper rating, can result in suspension or removal from the network. The rules are enforced by supervisors and administrators."
"IVAO Training Department","Many IVAO divisions encourage cross-training, where real-world pilots and controllers can share their knowledge. While virtual ATC simulates real procedures, it cannot replicate the real-world environment entirely. This exchange of knowledge helps to improve the realism and quality of the simulation for everyone."
"IVAO Website","IVAO provides extensive documentation. The primary resources are the IVAO Manuals (for global procedures), the division's website (for local SOPs and procedures), and the forum. Before controlling in a new area, it is mandatory to review the local procedures for that specific FIR or airport."
"Training Scenario: High Traffic Volume","Scenario: You are the approach controller for a major hub airport during an event. You have a stream of 15 aircraft inbound, all arriving within a 20-minute window. Your task is to maintain separation, sequence them for the ILS approach, and manage their speeds effectively. This tests your ability to prioritize, issue concise instructions, and build a mental picture of the entire arrival flow."
"Training Scenario: Multiple Emergencies","Scenario: While working tower, a landing aircraft reports a blown tire and is disabled on the runway. Simultaneously, an inbound aircraft on a 5-mile final declares a medical emergency and needs to land immediately. Your task is to coordinate with ARFF, close the blocked runway, open a parallel runway, and safely land the emergency aircraft while managing other traffic."
"Training Scenario: System Failure","Scenario: Your radar client (IvAc) suddenly freezes and disconnects. You are handling 10 aircraft in your sector. Your task is to immediately attempt to reconnect. If unable, you must use backup communication (e.g., Discord) to notify a supervisor and adjacent controllers. You must mentally recall the last known position and clearance of each aircraft to help the next controller re-establish control."
"Training Scenario: Trainee Evaluation","Scenario: A trainee controller is being evaluated for their ADC rating. The examiner will act as multiple pilots, testing the trainee's ability to handle ground control, issue correct takeoff and landing clearances, manage the traffic pattern, and correctly apply wake turbulence separation. The examiner may introduce a non-standard request, like a helicopter operation, to test adaptability."
"Training Scenario: Common Student Errors","Scenario: A student ground controller taxis an aircraft via a complex route but forgets to get a readback of the hold short instruction. The trainer, acting as the pilot, will intentionally cross the hold short line. This forces the student to recognize the error, issue a corrective instruction, and reinforces the critical importance of the hearback loop."
"Training Scenario: Progressive Difficulty","Scenario: A training session begins with the student controlling only the ground position at a quiet airport. As they show proficiency, the trainer adds the tower position. Then, traffic volume is slowly increased. Finally, a VFR aircraft requests pattern work, and a pop-up IFR requests a clearance, progressively increasing the workload and complexity."
"Training Scenario: Multi-Facility Coordination","Scenario: A planned exercise involves the Center, Approach, and Tower positions for a specific airport all being staffed. The goal is to manage a flow of traffic from the en route structure, through the TRACON, to a safe landing. The exercise tests the controllers' ability to provide smooth handoffs, coordinate altitude changes, and communicate any restrictions or delays."
"Training Scenario: Controller Stress Management","Scenario: The controller is faced with a rapidly developing thunderstorm over the airport, a NORDO aircraft inbound, and increasing frequency congestion. This scenario is designed to test the controller's ability to remain calm, prioritize the most critical threats (safety over flow), and use clear, concise communication to manage the situation without becoming overwhelmed."
"Practical Application: Efficient Phraseology","Instead of 'N12345, taxi to runway 27.' ... 'N12345, contact tower on 118.1,' a more efficient transmission is: 'N12345, taxi to runway 27 via taxiway Alpha. When ready for departure, contact tower on 118.1.' This combines two instructions into one, reducing frequency congestion."
"Practical Application: Time Management","Use the time during low workload to plan for high workload. Review flight plans for upcoming arrivals, pre-plan your descent points and sequencing, and coordinate with other controllers in advance. This 'staying ahead of the airplane' mentality is key to effective time management."
"Practical Application: Workload Prioritization","In a busy sector, use the ABCs of priority: A - Aviate (ensure aircraft are separated and flying safely), B - Boundaries (manage aircraft at your sector boundaries via handoffs), C - Clearances (issue new clearances or amendments). Non-essential communication can wait."
"Practical Application: Equipment Failure","If your voice connection fails but your radar client is still working, immediately switch to text. Type in the main frequency: 'All stations, voice server down, switching to text only.' This informs all pilots of the situation and allows you to continue controlling while troubleshooting the voice issue."
"Practical Application: Backup Communication","Many IVAO divisions use Discord or Teamspeak for controller-to-controller coordination. This is an essential backup tool. If the network text system fails or you need to have a complex discussion with another controller, use the backup channel. It is not for issuing clearances to pilots."
"Practical Application: Performance Standards","A key performance metric on IVAO is accuracy. A controller should strive for 100% accuracy in issuing clearances and catching readback errors. Efficiency (aircraft per hour) is secondary to safety and accuracy. A safe, accurate controller is a good controller, regardless of speed."
"Practical Application: Quality Assurance","Supervisors and trainers will periodically monitor your controlling sessions to provide feedback. This is a quality assurance measure to ensure standards are being met. View this as a positive learning opportunity to improve your skills."
"Practical Application: Continuing Education","The aviation world is always changing. As an IVAO controller, you are expected to stay current with changes to real-world procedures (e.g., new 7110.65 updates) and IVAO-specific rules. Regularly check the IVAO forum and your division's website for updates."
"IVAO IvAc Manual","The ATIS (Automatic Terminal Information Service) in IvAc must be set up correctly. It should include the airport ICAO code, the ATIS identifier letter, the time of the observation, wind direction and speed, visibility, cloud cover, temperature, dew point, and altimeter setting. It should also include the active runways and any important remarks."
"IVAO Rules and Regulations 2.5.2","Text communication is a valid form of ATC on IVAO. It is used when a pilot or controller does not have a microphone, or when voice servers are down. Controllers must respond to text messages as they would to voice calls. All clearances issued via text must be fully typed out and are still legally binding in the simulation."
"IVAO IvAc Manual","A supervisor can be contacted via a '.wallop' message in IvAc. This sends a message to all online supervisors and administrators. Use this for urgent situations, such as a network rule violation, a stuck microphone you cannot resolve, or a request for assistance with a difficult situation. Do not use it for casual conversation."
"IVAO IvAc Manual","The '.forceact' command allows a controller to change an aircraft's primary frequency. This should only be used as a last resort if an aircraft has been instructed to change frequency, has acknowledged, but has failed to do so after a reasonable amount of time. It is considered an aggressive action and should be used with caution."
"IVAO Website","The IVAO Training Department is responsible for all member training and examinations. To request a training session or an exam, you must use the scheduling system on the IVAO website. A certified trainer from your division will then be assigned to you."
"IVAO Rules and Regulations 2.6.1","Unicom (122.800) is the designated frequency for pilots to self-announce their positions and intentions when no ATC is online. It is not for chatting. Transmissions should be concise and follow a standard format, such as '[Airport] traffic, [call sign], [position], [intention].'"
"IVAO IvAc Manual","When handing off an aircraft in IvAc, the transferring controller will select the aircraft and the next controller's position. The data block will flash on the receiving controller's scope. The receiving controller must 'assume' the aircraft by clicking on it. Only after the aircraft is assumed should the pilot be instructed to change frequency."
"Training Scenario: Runway Incursion","Scenario: You clear an aircraft for takeoff. As it begins its takeoff roll, a VFR aircraft that was holding short of the runway enters the runway without clearance. Your immediate actions are: 1. Cancel the takeoff clearance ('N12345, cancel takeoff clearance, hold position!'). 2. Issue an instruction to the other aircraft ('N54321, exit the runway immediately!'). 3. Report the incident."
"Training Scenario: VFR into IMC","Scenario: A VFR pilot on flight following reports that the weather has deteriorated unexpectedly, and they are now in the clouds. They are not instrument-rated. Your immediate priority is safety. Issue a heading to fly away from known terrain or obstacles and an altitude to climb to. Declare an emergency for the aircraft and coordinate with all other traffic to provide a safe path while you work on a plan."
"Training Scenario: Missed Approach Conga Line","Scenario: The RVR for the landing runway suddenly drops below minimums. The first aircraft on final executes a missed approach. You must issue missed approach instructions, then immediately vector the second aircraft off the approach course and issue holding instructions. This tests your ability to react quickly and manage a sudden, high-workload situation."
"Common Error: Altitude Bust","Scenario: A student controller clears an aircraft to descend to 5,000 feet. The pilot correctly reads it back. Later, the controller sees the aircraft has descended through 5,000 and is at 4,500. The trainer will ask the student what they should do. The correct action is to immediately issue a corrective instruction: 'N12345, confirm your assigned altitude. You were cleared to maintain five thousand. Climb and maintain five thousand immediately.'"
"Practical Application: Anticipatory Control","If you see two aircraft on a collision course 20 miles apart, don't wait until they are 6 miles apart to react. Issue a small heading or altitude change early. This 'anticipatory control' results in a much smoother, safer, and less stressful operation than constantly reacting to imminent problems."
"Practical Application: Sterile Cockpit for ATC","Just as pilots have a 'sterile cockpit' rule during critical phases of flight, controllers should have a 'sterile position' during busy periods. Avoid all non-essential conversation, private messages, or tasks. Focus 100% of your attention on the radar scope and the frequency until the workload decreases."
"Practical Application: Group Transmissions","If the weather changes, instead of informing each aircraft individually, use a group transmission. 'All aircraft on my frequency, be advised, the wind at the airport is now three five zero at one five, gusting two five. New ATIS information is Charlie.' This saves significant time."
"Practical Application: 'Say Again' is Your Friend","Never assume you understood a garbled or unclear transmission. There is no shame in asking a pilot to repeat themselves. Phraseology: 'N12345, say again, you were unreadable.' A few seconds of clarification can prevent a major error."
"IVAO Rules and Regulations 2.1.4","Connecting to an ATC position for less than 15 minutes without a valid reason (e.g., technical issues) is considered 'flashing' and is discouraged. Controllers are expected to remain online for a reasonable period to provide a consistent service to pilots."
"IVAO Events Department SOP","For 'Real Flight Operations' (RFO) events, controllers are expected to handle a high volume of traffic based on real-world airline schedules. This requires careful planning and adherence to the published event procedures. It is one of the most challenging and rewarding types of events on the network."
"Training Scenario: Language Barrier","Scenario: A pilot with very limited English proficiency is on your frequency. They are not correctly reading back instructions. Your task is to slow down, use only the most basic ICAO standard phraseology, and break down complex clearances into simple, individual steps. For example, issue a heading, get a readback, then issue an altitude, get a readback."
"Common Error: Forgetting the EFC","Scenario: A student controller issues a holding clearance but forgets to give an Expect Further Clearance (EFC) time. The trainer, as the pilot, will ask, 'What is our EFC?' This reinforces that a holding clearance is incomplete without an EFC, as it is critical information for the pilot, especially in a lost-comm situation."
"Practical Application: Post-Session Debrief","After every controlling session, especially a busy or challenging one, take a few minutes to debrief yourself. What went well? What could have been better? What did you learn? This habit of self-reflection is one of the fastest ways to improve your skills as a controller."
"IVAO IvAc Manual","The 'squawk standby' command is used when an aircraft is on the ground and not moving. This reduces clutter on the radar screen. The controller should instruct the pilot to 'squawk normal' or 'squawk charlie' just before issuing the taxi clearance. Phraseology: 'N12345, squawk charlie, taxi to runway 27...'"
"Training Scenario: The Unexpected Diversion","Scenario: An aircraft destined for your airport declares they must divert to their alternate due to a passenger issue. Your task is to quickly coordinate a new route with the adjacent controller, issue the amended clearance to the pilot, and hand them off in a safe and orderly manner, all while continuing to manage your other traffic."
"Practical Application: Knowing Your Airspace","Before logging on, study the charts for your airspace. Know your MVA (Minimum Vectoring Altitude), major airways, common arrival and departure gates, and any special use airspace. Having this knowledge readily available in your mind, rather than having to look it up, will dramatically improve your efficiency and confidence."
"FAAO 7110.65 5-1-6","A Ground Delay Program (GDP) is a traffic management initiative where aircraft are assigned an Expect Departure Clearance Time (EDCT) to manage volume at a destination airport. The goal is to meter departures so that they do not overwhelm the arrival airport's capacity. Controllers must ensure aircraft depart at or near their assigned EDCT."
"Traffic Flow Management System (TFMS)","Arrival Metering is a process, often managed by a Time-Based Flow Management (TBFM) system, that calculates arrival times for aircraft to a specific runway threshold. Controllers then use speed control and vectoring to meet these assigned times, creating a perfectly spaced, efficient stream of traffic and reducing the need for airborne holding."
"FAAO 7110.65 3-2-1","Departure sequencing is the responsibility of the tower controller. During traffic management initiatives, the controller must sequence departing aircraft to meet their assigned release times or EDCTs. This may require holding some aircraft while allowing others to depart out of their normal turn to meet the program's requirements."
"FAAO 7110.65 6-5-5","Miles-in-trail (MIT) restrictions are a common flow control tool where a specific number of miles is required between aircraft on the same route. The restriction is issued by the ARTCC and passed down to underlying sectors. Phraseology: 'N12345, maintain 15 miles in trail with the preceding aircraft.'"
"National Playbook","Playbook routes are pre-coordinated, alternative routes designed to bypass major constraints like severe weather, military exercises, or equipment outages. When a playbook route is activated, controllers will issue clearances to reroute affected aircraft along these published, alternative paths."
"Traffic Management Initiatives (TMI)","A Traffic Management Initiative (TMI) is a general term for any procedure used to manage air traffic flow. This includes Ground Stops (GS), Ground Delay Programs (GDP), Airspace Flow Programs (AFP), reroutes, and miles-in-trail restrictions. Controllers are responsible for implementing the specific instructions of each TMI."
"Collaborative Decision Making (CDM)","Collaborative Decision Making (CDM) is a joint government/industry initiative aimed at improving air traffic flow management through information sharing. Airlines share their flight schedules and operational needs, and the FAA shares system status and constraints. This collaboration allows for more efficient and equitable traffic management solutions."
"FAAO 7110.65 3-10-5","Helicopter operations require special handling. Helicopters can take off and land from non-runway locations (helipads, taxiways) and can perform air taxiing (flying low and slow). Controllers must be aware of the helicopter's downwash, which can be a hazard to other aircraft, vehicles, and personnel on the ground."
"AIM 7-5-10","Gliders and balloons have the right-of-way over all other engine-driven aircraft. Controllers should provide traffic advisories to aircraft operating near known glider or balloon activity. These aircraft are often unpredictable in their flight path and may not be equipped with transponders, requiring extra vigilance."
"FAAO 7110.65 9-2-14","Unmanned Aircraft Systems (UAS) or drones are an increasing part of the airspace. Controllers must be aware of any approved UAS operations in their sector. A primary concern is a 'lost link' event, where the UAS may follow a pre-programmed contingency route. The controller's priority is to ensure separation between the UAS and all manned aircraft."
"FAAO 7110.65 9-2-13","A standard formation flight is treated as a single aircraft for separation purposes. The lead pilot is responsible for separation within the formation. For non-standard formations (more than 1 mile wide or long), the controller must apply separation to the entire perimeter of the formation as if it were one large aircraft."
"FAAO 7110.65 9-4-1","For an air show, a Temporary Flight Restriction (TFR) is established, and control of the participating aircraft is typically handed over to an 'Air Boss.' The ATC controller's role is to ensure no unauthorized aircraft enter the TFR and to manage the traffic flow into and out of the airport before and after the event."
"FAAO 7110.65 9-2-3","When parachute operations are in effect, the controller must issue advisories on all appropriate frequencies. The advisory should include the location of the jump zone and the altitudes the jumpers will be exiting. The airspace around the jump zone should be considered hazardous for non-participating aircraft."
"FAAO 7110.65 9-2-4","Banner towing operations are typically conducted at low altitudes in VFR conditions. The controller must be aware of the banner tow aircraft's pickup and drop zones. These aircraft are slow-moving and have limited maneuverability, so other traffic should be vectored to avoid them."
"Controller Pilot Data Link Communications (CPDLC)","CPDLC allows for text-based communication between controllers and pilots for non-urgent messages like clearances and reports. This reduces frequency congestion and communication errors. A controller can send a clearance, and the pilot can accept it with a single button press, which automatically loads the clearance into the aircraft's flight management system."
"Automatic Dependent Surveillance-Broadcast (ADS-B)","ADS-B is a surveillance technology where an aircraft determines its position via satellite navigation and periodically broadcasts it, enabling it to be tracked. It provides more accurate and frequent position updates than traditional radar, allowing for reduced separation minima and more efficient routing."
"Traffic Flow Management System (TFMS)","The Traffic Flow Management System (TFMS) is the primary computer system used by the FAA's Air Traffic Control System Command Center (ATCSCC) to manage national air traffic flow. It is the tool that implements and monitors all TMIs, such as GDPs and AFPs."
"Electronic Flight Strips (EFS)","Electronic Flight Strips (EFS) are replacing traditional paper strips in many ATC facilities. They automate many tasks, such as updating altitude information and coordinating handoffs. This reduces controller workload and the potential for manual errors, allowing more time for scanning and traffic management."
"Precision Runway Monitor (PRM)","Precision Runway Monitor (PRM) is a high-update radar system that allows for simultaneous independent approaches to parallel runways with centerlines as close as 3,400 feet. A dedicated PRM controller monitors the No Transgression Zone (NTZ) between the runways and will issue immediate breakout instructions if an aircraft deviates from its course."
"Enhanced Flight Vision Systems (EFVS)","An EFVS allows a pilot to see an infrared or sensor-based image of the outside world on their head-up display. This can enable a pilot to see the runway environment in low visibility conditions. Under specific regulations, a pilot using EFVS may be able to descend below the normal DA/MDA and land, even if they cannot see the runway with their natural vision."
"FAAO 7210.3","An operational error is an occurrence where a controller fails to apply a prescribed separation standard between aircraft, or between an aircraft and terrain or obstructions. All operational errors are investigated to determine the cause and to develop corrective actions to prevent recurrence."
"Performance Measurement","ATC facility performance is measured by a variety of metrics, including operational error rates, runway incursion rates, efficiency (e.g., aircraft handled per hour), and compliance with traffic management initiatives. These metrics are used to identify trends and areas for improvement."
"Safety Management System (SMS)","SMS is a formal, top-down, organization-wide approach to managing safety risk. It has four components: Safety Policy, Safety Risk Management, Safety Assurance, and Safety Promotion. The goal of SMS is to proactively identify and mitigate hazards before they result in an accident or incident."
"Risk Assessment Procedures","Before a new procedure or piece of equipment is implemented, it must undergo a formal risk assessment. This process identifies potential hazards, analyzes the severity and likelihood of those hazards, and develops mitigation strategies to reduce the risk to an acceptable level."
"Air Traffic Safety Action Program (ATSAP)","ATSAP is a voluntary, confidential safety reporting program that allows controllers to report safety concerns and incidents without fear of disciplinary action. The goal is to collect safety data to identify and fix systemic problems, rather than to assign blame."
"Facility Quality Assurance","Each major ATC facility has a Quality Assurance (QA) department. The QA staff reviews procedures, investigates incidents, monitors performance metrics, and ensures that the facility is in compliance with all national and local directives. They are a key component of the facility's SMS."
"Controller Fatigue Management","Fatigue is a significant risk factor in ATC. The FAA has strict rules on controller scheduling, including maximum hours per shift and minimum time off between shifts. Controllers are also trained to recognize the symptoms of fatigue in themselves and their colleagues and are encouraged to take breaks when needed."
"14 CFR Part 91","Part 91 of the Federal Aviation Regulations contains the general operating and flight rules for all aircraft within the United States. This includes rules for VFR/IFR flight, airspace, and aircraft maintenance. Controllers must have a strong working knowledge of Part 91 as it governs the actions of most pilots they will encounter."
"14 CFR Part 121","Part 121 governs the operations of scheduled air carriers (i.e., major airlines). These operations are held to the highest standards of safety, with strict requirements for pilot training, aircraft maintenance, and dispatch procedures. Controllers can expect Part 121 aircraft to be professionally flown and well-equipped."
"14 CFR Part 135","Part 135 governs on-demand and charter operations, including air taxi, cargo, and medical evacuation (MEDEVAC) flights. These operations have slightly different rules than Part 121 but are still held to a high safety standard. A Part 135 MEDEVAC flight has priority handling from ATC."
"14 CFR Part 125","Part 125 governs the operation of large private aircraft (20 or more seats, or a max payload of 6,000 lbs or more) that are not engaged in common carriage. These are often corporate shuttles or large private jets. They are subject to specific safety and maintenance regulations."
"ICAO Annexes","The International Civil Aviation Organization (ICAO) publishes 19 Annexes to the Chicago Convention, which set the international standards for everything from Rules of the Air (Annex 2) to Search and Rescue (Annex 12). Controllers involved in international operations must be aware of the ICAO standards and the specific differences filed by each country."
